our-id,film-title,screening-date,doors,start,price,discounted,imdb-link,classification,main-image,alt-text,youtube,short-description,description
riders_of_justice,Riders of Justice,2023-04-28,19:30:00,20:00:00,5,4,https://www.imdb.com/title/tt11655202/,15,resources/riders_of_justice.jpg,"Anders Thomas Jensen, 2020",https://www.youtube-nocookie.com/embed/j9Okx5teGBQ,"Markus goes home to his teenage daughter, Mathilde, when his wife dies in a train crash. All appears to be a tragic accident until a mathematics geek, who was also a fellow passenger on the train, and his two colleagues show up.","Markus goes home to his teenage daughter, Mathilde, when his wife dies in a train crash. All appears to be a tragic accident until a mathematics geek, who was also a fellow passenger on the train, and his two colleagues show up."
ledoulos,Le Doulos,2023-03-24,19:30:00,20:00:00,5,4,https://www.imdb.com/title/tt0054821/,12A,resources/ledoulos.jpg,"Jean-Pierre Melville, 1962",https://www.youtube-nocookie.com/embed/5-NbnHocnFk,"A burglar betraying other criminals, prepares for a big heist with a trusted friend that might be as untrustworthy as he.","A burglar betraying other criminals, prepares for a big heist with a trusted friend that might be as untrustworthy as he."
cold_war,Cold War,2023-02-24,19:30:00,20:00:00,5,4,https://www.imdb.com/title/tt6543652/,15,resources/coldwar.jpg,"Pawel Pawlikowski, 2018",https://www.youtube-nocookie.com/embed/8ImvkXgGVWw,"In the 1950s, a music director falls in love with a singer and tries to persuade her to flee communist Poland for France.","A passionate love story between two people of different backgrounds and temperaments, who are fatefully mismatched and yet condemned to each other. Set against the background of the Cold War in the 1950s in Poland, Berlin, Yugoslavia and Paris, the film depicts an impossible love story in impossible times."
nine_to_five,9 to 5,2023-01-27,19:30:00,20:00:00,January is always a foodbank benefit showing. Please bring the value of a cinema ticket (approx £5) in non-perishable food and/or cash. ,,https://www.imdb.com/title/tt0080319/,15,resources/nine_to_five.jpg,"Colin Higgins, 1980",https://www.youtube-nocookie.com/embed/qni6HOyPNBA,"Three female employees of a sexist, egotistical, lying, hypocritical bigot find a way to turn the tables on him.","Meet Franklin Hart (Dabney Coleman). The biggest ""sexist, egotistical, lying, hypocritical bigot"" boss on the planet. He thrills in taking advantage of his head female office staff; humiliating, downplaying, and condescending against them whenever conveniently possible, particularly his top assistant Violet (Lily Tomlin). Long-exhausted over his gruesome bullishness, Violet, alongside co-workers Doralee (Dolly Parton) and Judy (Jane Fonda) comprise comical methods of ""doing him in"", when a freak incident occurs."
lucky,Lucky,2022-11-25,19:30:00,20:00:00,5,4,https://www.imdb.com/title/tt5859238/,15,resources/lucky.jpg,"Lucky, John Carroll Lynch, 2017",https://www.youtube-nocookie.com/embed/2KLLkj84GAo,"Having out lived and out smoked all of his contemporaries, the fiercely independent Lucky finds himself at the precipice of life.","LUCKY follows the spiritual journey of a 90-year-old atheist and the quirky characters that inhabit his off the map desert town. Having out lived and out smoked all of his contemporaries, the fiercely independent Lucky finds himself at the precipice of life, thrust into a journey of self exploration, leading towards that which is so often unattainable: enlightenment. Acclaimed character actor John Carroll Lynch's directorial debut, ""Lucky"", is at once a love letter to the life and career of Harry Dean Stanton as well as a meditation on mortality, loneliness, spirituality, and human connection."
8-women,8 Women,2022-12-16,19:30:00,20:00:00,5,4,https://www.imdb.com/title/tt0283832,15,resources/8women.jpg,"8 Women, François Ozon, 2002",https://www.youtube-nocookie.com/embed/Fv8_fsEq_j0,"One murdered man, eight women, each seeming to be eager than the others to know the truth. Gimme, gimme, gimme some clues to make up my mind. And eventually enter the truth. Oh, thou cruel woman!","One murdered man, eight women, each seeming to be eager than the others to know the truth. Gimme, gimme, gimme some clues to make up my mind. And eventually enter the truth. Oh, thou cruel woman!"
smoke,Smoke,2022-10-28,19:30:00,20:00:00,5,4,https://www.imdb.com/title/tt0114478/,15,resources/smoke.jpg,"Smoke, Wayne Wang, 1995",https://www.youtube-nocookie.com/embed/3v8r-ec4V2M,"A Brooklyn smoke shop is the centre of neighbourhood activity, and the stories of its customers",
night_on_earth,Night On Earth,2022-09-23,19:30:00,20:00:00,5,4,https://www.imdb.com/title/tt0102536/,15,resources/nightonearth.jpg,"Night On Earth, Jim Jarmusch, 1991",https://www.youtube-nocookie.com/embed/F1m6GlPyOSU,An anthology of 5 different cab drivers in 5 American and European cities and their remarkable fares on the same eventful night.,An anthology of 5 different cab drivers in 5 American and European cities and their remarkable fares on the same eventful night.
the_act_of_killing,The Act Of Killing,2017-02-10,19:30:00,20:00:00,4,3,https://www.imdb.com/title/tt2375605/,15,resources/actofkillingbackdrop.jpg,,https://www.youtube-nocookie.com/embed/SD5oMxbMcHM,,
aesthetica,Aesthetica,2019-09-06,19:30:00,20:00:00,4,3,,n/a,,,,,
