our-id,film-title,date,doors,start,price,discounted,link,certificate,image,Alt-text,youtube,short-description,description
the_act_of_killing,The Act Of Killing,2017-02-10,19:30:00,20:00:00,4,3,https://www.imdb.com/title/tt2375605/,15,resources/actofkillingbackdrop.jpg,,https://www.youtube.com/embed/SD5oMxbMcHM,,
aesthetica,Aesthetica,2019-09-06,19:30:00,20:00:00,4,3,,n/a,,,,,
a_prophet,A Prophet,2015-10-09,19:30:00,20:00:00,4,3,,18,resources/aprophetbackdrop.jpg,,https://www.youtube.com/embed/YWmIpiEJ1ms?rel=0&amp,showinfo=0,
bpm,Bpm,2020-01-17,19:30:00,20:00:00,4,3,,15,resources/bpm2.jpg,,https://www.youtube.com/embed/UVAw7JfTqBU,,
breathing,Breathing,2020-03-06,19:30:00,20:00:00,4,3,,15,resources/Breathing2.jpg,,https://www.youtube.com/embed/rLPwjQKpdLk,,
burnt_by_the_sun,Burnt By The Sun,2019-11-01,19:30:00,20:00:00,4,3,,15,resources/burntbythesunbackdrop.jpg,,https://www.youtube.com/embed/J8sRJ-zAMFk,,
captain_fantastic,Captain Fantastic,2017-11-25,19:30:00,20:00:00,4,3,,15,resources/captainfantastic.jpg,,https://www.youtube.com/embed/D1kH4OMIOMc,,
catch_me_daddy,Catch Me Daddy,2016-04-22,19:30:00,20:00:00,4,3,,15,resources/catchmebackdrop.jpg,,,,
a_story_of_children_and_film,A Story Of Children And Film,2016-12-09,19:30:00,20:00:00,4,3,,PG,resources/childrenfilmbackdrop.jpg,,https://www.youtube.com/embed/ZX9Z9oP85_w,,
delicatessen,Delicatessen,2017-10-28,19:30:00,20:00:00,4,3,,15,resources/delicatessen.jpg,,https://www.youtube.com/embed/GVL5_I4CvTc,,
dheepan,Dheepan,2018-04-28,19:30:00,20:00:00,4,3,,18,resources/dheepanbackdrop.png,,https://www.youtube.com/embed/QpXHi7TGYpg,,
dig,Dig,2017-03-10,19:30:00,20:00:00,4,3,,15,resources/digbackdrop2.jpg,,https://www.youtube.com/embed/RWK29MmRxTo,,
edith_walks,Edith Walks,2017-11-11,19:30:00,20:00:00,4,3,,n/a,resources/edithwalks2.jpg,,https://www.youtube.com/embed/3DvGz0fa0Ig,,
edukators,Edukators,2018-01-27,19:30:00,20:00:00,4,3,,15,resources/edukators.jpg,,https://www.youtube.com/embed/UyT8bEa4XYA,,
enemy_within,Enemy Within,2016-01-15,19:30:00,20:00:00,4,3,,,resources/enemywithinbackdrop.jpg,,,,
force_majeure,Force Majeure,2018-12-07,19:30:00,20:00:00,4,3,,15,resources/forcemajeure3.jpg,,https://www.youtube.com/embed/fjjzVbTBF8o,,
hands_up,Hands Up,2016-10-14,19:30:00,20:00:00,4,3,,,resources/handsupbackdrop.jpg,,https://www.youtube.com/embed/Ji7ZlzNXpzI,,
head_hunters,Head Hunters,2017-03-31,19:30:00,20:00:00,4,3,,PG,resources/hangmenbackdrop.jpg,,https://www.youtube.com/embed/5am704I0zkM,,
if,If,2016-11-11,19:30:00,20:00:00,4,3,,15,resources/ifbackground.jpg,,,,
intouchables,Intouchables,2015-12-18,19:30:00,20:00:00,4,3,,n/a,resources/intouchablesbackdrop.jpg,,,,
liberation_day,Liberation Day,2019-02-15,19:30:00,20:00:00,4,3,,n/a,resources/liberationday1.jpg,,https://www.youtube.com/embed/WBuYjttUQn8,,
lobster,Lobster,2016-09-09,19:30:00,20:00:00,4,3,,15,resources/lobsterbackdrop.jpg,,,,
loneliness,Loneliness,2018-11-02,19:30:00,20:00:00,4,3,,12,resources/loneliness4.jpg,,,,
man_with_a_movie_camera,Man With A Movie Camera,2019-10-04,19:30:00,20:00:00,4,3,,U,resources/manwithamoviecamerabackground.jpg,,https://www.youtube.com/embed/BtTlgxtoqhg,,
memories,Memories,2017-09-30,19:30:00,20:00:00,4,3,,15,resources/memories.png,,https://www.youtube.com/embed/dTnyhLywdJc,,
night_on_earth,Night On Earth,2020-04-17,19:30:00,20:00:00,4,3,,15,resources/nightonearth.jpg,,https://www.youtube.com/embed/F1m6GlPyOSU,,
russian_ark,Russian Ark,2019-12-06,19:30:00,20:00:00,4,3,,15,resources/RussianArk_1.jpg,"Russian Ark, A. Sokurov, Russia, 2002",https://www.youtube.com/embed/ZV1kphEEXn8,"The first feature film shot in a single take, Russian Ark takes us through a museum to visit ghosts of the past, from a tyrannical Peter the Great to the doomed Tzar Nicholas II.  ","The first feature film shot in a single take, Russian Ark takes us through a museum to visit ghosts of the past, from a tyrannical Peter the Great to the doomed Tzar Nicholas II.  

> *The movie's smooth voyage comes to seem like a dream play, suspended painlessly in time* - Village Voice  

> *Despite an undeniable attraction to the majestic, Aleksandr Sokurov seems equally adverse to straightforward spectacle, approaching potentially colossal subjects from odd, specific angles.* - Slant Magazine  

A bar will be open serving wines, beers, soft drinks and cake."
smoke,Smoke,2020-04-03,19:30:00,20:00:00,4,3,,,resources/smoke.jpg,,https://www.youtube.com/embed/E8eiFdoI5W0,Two brothers are taken by a father they only knew from a single photograph on a journey into the wilderness&hellip,
the_fall,The Fall,2015-09-18,19:30:00,20:00:00,4,3,,15,resources/fallbackdrop.jpg,,https://www.youtube.com/embed/IwsYyRc9j4g?showinfo=0,,
the_return,The Return,2020-02-07,19:30:00,20:00:00,4,3,,12,resources/thereturn2.jpg,,https://www.youtube.com/embed/mEKp-Ort7hU,,
troll_hunter,Troll Hunter,2016-03-18,19:30:00,20:00:00,4,3,,,resources/trollhunterbackdrop.jpg,,,,
two_days,Two Days,2015-11-20,19:30:00,20:00:00,4,3,,,resources/twodaysbackdrop.jpg,,,,
wasteland,Wasteland,2017-01-13,19:30:00,20:00:00,4,3,,,resources/wastelandbackdrop.jpg,,https://www.youtube.com/embed/sNlwh8vT2NU,,
